Created Date,Closed Date,Borough,Descriptor,Complaint Type,Agency,Longitude,Latitude,Status,processing_time,start_time_window
01/01/2016 12:00:09 AM,01/01/2016 01:57:32 AM,BROOKLYN,Loud Music/Party,Noise - Street/Sidewalk,NYPD,-73.98284003196223,40.70182309943841,Closed,0 days 01:57:23.000000000,0
01/01/2016 12:00:40 AM,01/01/2016 03:12:53 AM,BRONX,Loud Music/Party,Noise - Residential,NYPD,-73.8861112339118,40.87556453341452,Closed,0 days 03:12:13.000000000,0
01/01/2016 12:01:09 AM,01/21/2016 09:20:55 AM,BRONX,NO LIGHTING,ELECTRIC,HPD,-73.87888510394455,40.884277062723896,Closed,20 days 09:19:46.000000000,0
01/01/2016 12:02:59 AM,01/01/2016 11:35:50 PM,Unspecified,Loud Music/Party,Noise - Residential,NYPD,,,Closed,0 days 23:32:51.000000000,0
01/01/2016 12:03:03 AM,01/08/2016 01:13:00 AM,BRONX,ENTIRE BUILDING,HEAT/HOT WATER,HPD,-73.8966070485658,40.857840920747364,Closed,7 days 01:09:57.000000000,0
01/01/2016 12:03:03 AM,01/01/2016 03:24:46 AM,QUEENS,Loud Music/Party,Noise - Residential,NYPD,-73.88621048623588,40.745728207655894,Closed,0 days 03:21:43.000000000,0
01/01/2016 12:03:29 AM,01/01/2016 02:43:08 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.89630573042851,40.63606492388788,Closed,0 days 02:39:39.000000000,0
01/01/2016 12:04:06 AM,01/01/2016 12:28:32 AM,MANHATTAN,Loud Music/Party,Noise - Street/Sidewalk,NYPD,-73.95314677412019,40.80520120189394,Closed,0 days 00:24:26.000000000,0
01/01/2016 12:04:37 AM,01/01/2016 03:54:37 AM,MANHATTAN,Banging/Pounding,Noise - Residential,NYPD,-73.94483682840779,40.83811767058312,Closed,0 days 03:50:00.000000000,0
01/01/2016 12:04:56 AM,01/04/2016 12:00:01 AM,BRONX,1 or 2,Food Poisoning,DOHMH,-73.89108746861388,40.86192270280152,Closed,2 days 23:55:05.000000000,0
01/01/2016 12:05:04 AM,01/01/2016 01:35:47 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.9110036136785,40.67565151198647,Closed,0 days 01:30:43.000000000,0
01/01/2016 12:05:09 AM,01/01/2016 01:30:48 AM,BRONX,Banging/Pounding,Noise - Residential,NYPD,-73.89680027435357,40.89639579249236,Closed,0 days 01:25:39.000000000,0
01/01/2016 12:05:19 AM,01/01/2016 12:10:18 AM,MANHATTAN,Loud Music/Party,Noise - Residential,NYPD,-73.94854616042629,40.784869028449954,Closed,0 days 00:04:59.000000000,0
01/01/2016 12:05:35 AM,01/01/2016 05:23:46 AM,QUEENS,Loud Music/Party,Noise - Residential,NYPD,-73.87413871579652,40.713198496024376,Closed,0 days 05:18:11.000000000,0
01/01/2016 12:06:32 AM,01/01/2016 02:36:16 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.95312121435825,40.656855438042214,Closed,0 days 02:29:44.000000000,0
01/01/2016 12:07:32 AM,01/01/2016 07:15:58 AM,QUEENS,Loud Music/Party,Noise - Residential,NYPD,-73.86011542348268,40.75894563555228,Closed,0 days 07:08:26.000000000,0
01/01/2016 12:07:51 AM,01/01/2016 02:21:41 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.98590152326081,40.63583084691343,Closed,0 days 02:13:50.000000000,0
01/01/2016 12:08:07 AM,01/01/2016 12:31:48 AM,MANHATTAN,Loud Music/Party,Noise - Residential,NYPD,-73.9428169220209,40.80835297400564,Closed,0 days 00:23:41.000000000,0
01/01/2016 12:08:14 AM,01/01/2016 01:46:30 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-73.94845543554169,40.66883440348891,Closed,0 days 01:38:16.000000000,0
01/01/2016 12:08:30 AM,01/01/2016 01:17:38 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-74.01032910481905,40.60835039753288,Closed,0 days 01:09:08.000000000,0
01/01/2016 12:08:35 AM,01/01/2016 06:33:57 AM,QUEENS,Loud Music/Party,Noise - Residential,NYPD,-73.89025647952306,40.756450380250826,Closed,0 days 06:25:22.000000000,0
01/01/2016 12:09:58 AM,01/02/2016 10:04:21 AM,MANHATTAN,ENTIRE BUILDING,HEAT/HOT WATER,HPD,-73.97144760616737,40.784470757245174,Closed,1 days 09:54:23.000000000,0
01/01/2016 12:09:58 AM,01/01/2016 10:38:15 AM,BROOKLYN,Banging/Pounding,Noise - Residential,NYPD,-73.94005790714337,40.67910952008634,Closed,0 days 10:28:17.000000000,0
01/01/2016 12:10:02 AM,01/01/2016 09:01:56 PM,BROOKLYN,Banging/Pounding,Noise - Residential,NYPD,-73.95012102555529,40.683044837854396,Closed,0 days 20:51:54.000000000,0
01/01/2016 12:10:06 AM,01/01/2016 01:26:58 AM,BROOKLYN,Loud Music/Party,Noise - Residential,NYPD,-74.01081783506336,40.62394901084127,Closed,0 days 01:16:52.000000000,0
01/01/2016 12:10:11 AM,01/01/2016 03:54:35 PM,BROOKLYN,No Access,Blocked Driveway,NYPD,-73.97272470140605,40.628749667029155,Closed,0 days 15:44:24.000000000,0
01/01/2016 12:10:12 AM,01/01/2016 07:39:25 AM,STATEN ISLAND,Banging/Pounding,Noise - Residential,NYPD,-74.0884326297098,40.5985014447795,Closed,0 days 07:29:13.000000000,0
01/01/2016 12:10:19 AM,01/04/2016 02:06:26 PM,MANHATTAN,Sidewalk Grating - Defective,Sidewalk Condition,DOT,-73.97236197495663,40.75649659469117,Closed,3 days 13:56:07.000000000,0
01/01/2016 12:11:25 AM,01/01/2016 03:14:00 AM,BRONX,Loud Music/Party,Noise - Residential,NYPD,-73.88974296020218,40.863886631078344,Closed,0 days 03:02:35.000000000,0
01/01/2016 12:11:42 AM,01/06/2016 01:10:11 AM,BROOKLYN,APARTMENT ONLY,HEAT/HOT WATER,HPD,-73.94532275975443,40.63821491073936,Closed,5 days 00:58:29.000000000,0
01/01/2016 12:11:58 AM,01/01/2016 12:44:36 AM,BROOKLYN,Banging/Pounding,Noise - Residential,NYPD,-73.97637294363797,40.61176844745842,Closed,0 days 00:32:38.000000000,0
01/01/2016 12:12:15 AM,01/01/2016 07:51:44 AM,MANHATTAN,Banging/Pounding,Noise - Residential,NYPD,-73.96550374417565,40.79862370810118,Closed,0 days 07:39:29.000000000,0
01/01/2016 12:12:45 AM,01/02/2016 12:14:47 AM,Unspecified,The ABCs of Housing,HPD Literature Request,HPD,,,Closed,1 days 00:02:02.000000000,0
01/01/2016 12:13:01 AM,01/01/2016 09:42:53 AM,BRONX,No Access,Blocked Driveway,NYPD,-73.90006229643518,40.81741161747582,Closed,0 days 09:29:52.000000000,0
01/01/2016 12:13:23 AM,01/01/2016 12:41:24 AM,MANHATTAN,Loud Music/Party,Noise - Street/Sidewalk,NYPD,-73.94332981742319,40.81265969749149,Closed,0 days 00:28:01.000000000,0
01/01/2016 12:13:27 AM,01/01/2016 03:43:44 AM,BROOKLYN,Loud Music/Party,Noise - Street/Sidewalk,NYPD,-73.91957571461724,40.706305931739045,Closed,0 days 03:30:17.000000000,0
01/01/2016 12:13:59 AM,01/01/2016 03:55:39 PM,BROOKLYN,No Access,Blocked Driveway,NYPD,-73.97272470140605,40.628749667029155,Closed,0 days 15:41:40.000000000,0
