temp,hum,windspeed
0.2,0.47,0.2239
0.2,0.44,0.194
0.18,0.43,0.2537
0.18,0.43,0.194
0.18,0.43,0.1343
0.18,0.43,0.1642
0.18,0.43,0.194
0.16,0.5,0.1343
0.16,0.47,0.2239
0.16,0.47,0.2239
0.16,0.5,0.2537
0.16,0.55,0.194
0.18,0.47,0.1343
0.18,0.47,0.1343
0.18,0.43,0.1045
0.2,0.47,0.1642
0.2,0.47,0.1642
0.2,0.51,0.194
0.18,0.55,0.2537
0.18,0.59,0.194
0.16,0.8,0.194
0.16,0.8,0.194
0.14,0.93,0.2537
0.16,0.86,0.2836
0.34,0.42,0.3284
0.34,0.42,0.3284
0.34,0.42,0.3284
0.34,0.42,0.2985
0.32,0.45,0.1642
0.34,0.36,0
0.42,0.26,0.2985
0.42,0.26,0.2836
0.32,0.57,0.2985
0.32,0.57,0.2836
0.32,0.57,0.2537
0.32,0.57,0.1045
0.32,0.66,0.194
0.3,0.81,0.3284
0.32,0.76,0.2537
0.3,0.7,0.4478
0.28,0.75,0.4179
0.28,0.75,0.3881
0.24,0.87,0.3582
0.24,0.87,0.3582
0.24,0.81,0.3881
0.22,0.75,0.4478
0.2,0.75,0.4179
0.2,0.75,0.4179
0.44,0.67,0
0.44,0.62,0
0.4,0.76,0
0.4,0.76,0
0.38,0.82,0.0896
0.36,0.81,0.1045
0.36,0.81,0.0896
0.4,0.71,0.1642
0.44,0.62,0.2985
0.5,0.55,0.194
0.5,0.55,0.194
0.52,0.55,0.194
0.52,0.55,0.2836
0.54,0.52,0.2537
0.54,0.52,0.2537
0.54,0.52,0.4478
0.52,0.55,0.4925
0.5,0.63,0.3881
0.46,0.67,0.3881
0.42,0.77,0.3881
0.4,0.76,0.3284
0.4,0.76,0.2985
0.38,0.82,0.3881
0.36,0.81,0.194
0.64,0.94,0.194
0.64,0.94,0.1343
0.64,0.94,0.194
0.64,0.94,0.194
0.62,0.94,0.1642
0.62,0.94,0.1045
0.64,0.94,0.0896
0.64,0.94,0
0.66,0.89,0.1045
0.72,0.74,0.0896
0.8,0.55,0.2537
0.82,0.52,0
0.86,0.47,0.1045
0.86,0.44,0.0896
0.88,0.39,0
0.88,0.39,0.2537
0.88,0.37,0.2836
0.86,0.41,0.2239
0.86,0.41,0.1642
0.52,0.48,0.1045
0.76,0.58,0
0.74,0.7,0.1343
0.72,0.74,0.1642
0.7,0.84,0.1045
0.64,0.83,0.1343
0.64,0.83,0.0896
0.64,0.83,0
0.64,0.78,0
0.66,0.78,0.0896
0.64,0.83,0.1343
0.64,0.89,0.1642
0.66,0.83,0.1343
0.7,0.74,0.1045
0.72,0.66,0.0896
0.76,0.55,0.0896
0.76,0.55,0.0896
0.78,0.52,0
0.78,0.49,0
0.8,0.46,0
0.82,0.43,0.0896
0.82,0.41,0
0.8,0.46,0
0.8,0.46,0.1343
0.78,0.49,0.1642
0.76,0.55,0.1045
0.74,0.62,0.1045
